product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
20e37962088a4061d3578def47a8648b,moveis_decoracao,60,208,1,800,40,10,34
5f504b3a1c75b73d6151be81eb05bdc9,cool_stuff,38,1176,3,15350,47,40,47
0992c6cba95a13bfa68ea7d5e22d478b,ferramentas_jardim,42,671,1,3850,29,12,24
32ee3f4e2493045726807808d7abbab6,cama_mesa_banho,54,381,2,1400,38,9,27
2be2be0a6a5916840503fdf50808ebcb,utilidades_domesticas,41,270,1,600,36,6,19
51fed4afb1b41d00ad9d25a73b7fbbc7,consoles_games,48,303,3,250,21,7,15
0075c14603d80515e20908c156ceb47b,esporte_lazer,50,329,2,150,16,18,16
a1b3a75aaaee5c9a683f2266c088f720,relogios_presentes,53,599,2,350,16,11,11
c615805546392ec3b8a20c6590c4d400,pet_shop,54,261,6,2000,30,34,17
9cafef108028ea326352e901a8b729a7,cama_mesa_banho,60,609,2,1750,45,20,40
dd783a33bc94bef9c728611320d559e7,beleza_saude,52,1113,1,150,16,12,11
fff0a542c3c62682f23305214eaeaa24,papelaria,23,146,3,300,30,10,20
582dfc3697c5f834a5ddf28460ba9222,fashion_bolsas_e_acessorios,59,251,1,300,25,10,25
dccef777bc505f2eca720502c209988d,eletrodomesticos,56,173,1,150,18,8,13
0e40b1ed4cfd3da1962ec91913e54ba8,eletronicos,52,424,1,175,22,11,15
a1bf559ac1eab015ba992bd76d9d76c7,informatica_acessorios,32,1074,2,200,39,2,30
622d3b263cd40b06e1eeea144fb83f19,bebes,19,200,1,250,21,4,13
c6336fa91fbd87c359e44f5dca5a90ed,esporte_lazer,39,772,1,150,16,16,11
2e511b5741ab14e7f5294df6f1310b03,informatica_acessorios,52,2515,1,188,20,16,15
2029248294c186017ecfc48cecd47bbd,ferramentas_jardim,44,586,3,3250,32,14,22
b0cd550945da1de6eb9cb69595d540df,esporte_lazer,55,1392,1,900,16,16,16
ce130b350f529a1d6288f927da7404ea,cama_mesa_banho,50,171,1,1450,45,10,15
c04b8195870068ff5c495f269a0bc993,livros_tecnicos,54,1162,1,1100,29,3,21
bc4a074ab7a7ff14e98fa64671a79dc0,beleza_saude,21,1000,1,1450,25,25,16
f97d74310019b255120e4316f4515d74,fashion_bolsas_e_acessorios,34,426,4,200,16,9,11
1dfb36d969d347f56f43590ec42c7b8c,esporte_lazer,50,1212,5,900,26,6,13
ad19bca6e0f1919433d7e21d534ddb50,livros_interesse_geral,42,1109,1,900,18,25,16
334995514673fb6bae67885458b52984,utilidades_domesticas,37,261,2,250,25,25,25
2068e3435a38f6a3cc95ba89a96378ab,automotivo,58,894,1,3300,35,20,20
a7b42937ab954b0e03bcf6cc35209940,esporte_lazer,56,813,2,250,16,10,16
