customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
fd826e7cf63160e536e0908c76c3f441,addec96d2e059c80c30fe6871d30d177,04534,sao paulo,SP
5adf08e34b2e993982a47070956c5c65,1175e95fb47ddff9de6b2b06188f7e0d,81560,curitiba,PR
a9b0d1c26105279e1b8edc63d06bd668,3d49f4455a3947c8dd7e972b3ad8cb76,05017,sao paulo,SP
8b47e5ba29a9cd9947ee6be2f025ed66,9bbfdf9f7f65b58481e1ed110a2eed46,71665,brasilia,DF
2f97782bbc64b71cba9e79d12757479b,7aeb8dc11cd50c32f37fea0435c4e9b1,05874,sao paulo,SP
9d46b89032f34a48706407829dbb55b5,8dc17b53543ee0ff19970896cfc6c750,79130,rio brilhante,MS
fd2767fd04a34f7fe8b2ebb51f86c535,8c2a5c47e0c02478c440038904724cd5,12215,sao jose dos campos,SP
22688fbe08d1209daeabcd6c40590d1e,aec17cb0c9dba3200a2c49c3ef0a07dc,03579,sao paulo,SP
ecb1725b26e8b8c458181455dfa434ea,b55a113bb84fc10eaf58c6d09ec69794,72300,brasilia,DF
082805d32249e17183cfb56ccb67b5cf,339f6d44a550afdaf2a4a9a29d091d16,02230,sao paulo,SP
f9dfd7942a2d7f1588b7638a9bdc8ff1,ebf40c0db4fe06ddd15a7a44238c986e,24240,niteroi,RJ
508c98640dab1de30b6663686fac065c,663a02b5b809485e2e0a1db9a6003146,45585,itagiba,BA
273a046207e0ef2179645ef8ef4892b8,67fcfe4915b93624867d350b8191ff7b,62740,itapiuna,CE
9fda2760c2553bd90eae1b616776cb44,c3ae72f7fe12701be16e17345697d359,09850,sao bernardo do campo,SP
24867a30fb114e68f333a0645f923497,2ca8ef8560c5cd0f9ddb65d1b1b51380,51030,recife,PE
35cba8240cff7a8485121c06c306f534,c98371c8c628fe00729bc01622b9009b,56312,petrolina,PE
dc7302a83e9681f614bb59a515df38b3,fc19fe9ac733e36ff8227c29435c2030,15700,jales,SP
a91290410a471b445d4c17aaa10a3c2d,55f21db4f9a353dcee5b774f750c65a1,29240,alfredo chaves,ES
a049689e9d5cc5519e3bb91f63ea9750,39d16e1ef9c58bb82e54cf87906c185d,15130,mirassol,SP
ecc7f9db3aeff66207a889c07a2eecdf,b20eaead1d0c121ef9f0a705ad37803e,03317,sao paulo,SP
33cb0e2958def1ed82a542a45b13c982,c8fa956730a8b291e6bada90a5c6db6c,29124,vila velha,ES
591cb16ea1a6d8f7eebd0a349593bea2,0019e8c501c85848ac0966d45226fa1d,78015,cuiaba,MT
84b5db55a21ad27366b78ad45b8b8544,a7a0990a0bc15359977148c0d41bd277,06535,santana de parnaiba,SP
ac41dfafea25769214d7e659ae04882e,a20cdea40f5bfb3da4c667e998086272,02541,sao paulo,SP
54436727adc02bac2985f7f95c883b72,adf2f3c1524855ec8e22850045998f05,89700,concordia,SC
738071368b2af5dbdf5c7b487426cf02,918d4b7f27fa3b36b2eb95e7faafa737,05727,sao paulo,SP
378516f0506604e67868c3517983caec,040641ad9a73250e1362678a81db1b9b,30130,belo horizonte,MG
3fe7926825b25dda1761bd01bbb4d44c,ea2cf3092f1a6b9641abe79f008ad478,06404,barueri,SP
0971e2b38bc165dd8bf1b9d24a054890,dd3c3c93dbf411c967feecabdf1b8751,08051,sao paulo,SP
c64e943126adfabb1c2ae21b4bc1e650,d6d67261f2634cdf9ec293cd765c8479,07063,guarulhos,SP
7ec72d9b883d87aef5ee43beb65deb06,a4297e8887cab7669f74acae48d8fc92,22640,rio de janeiro,RJ
364f824c824823a6e6dcfce11fa7cad0,a21a8c17fb2d281bb4890748efc12200,32210,contagem,MG
404fdcb6673196c53184a4e728b329a3,d7381970033691cee4a1dcbe8eb52ffc,04675,sao paulo,SP
645e4bcb4b050ff31253516e363bf301,126646ff7e983d825b46a004555996bc,89694,faxinal dos guedes,SC
1abb0c19ec88e40555c8ee5ba6f2a102,b57bae12fea3467502bf32351c47144b,49535,sao miguel do aleixo,SE
a515248d7329f35b368348d0068033d6,5faabfe6772088c4d906b63fa81ac63d,95047,caxias do sul,RS
7de0835c86a91b038913a48c54d67d4c,c962775fb252a325ae5206df9e9db84d,12630,cachoeira paulista,SP
3e0b799408f8fba30d5416cfa77c15b3,82375c4c18f30b5a9a5ff8da6dd206d4,04084,sao paulo,SP
349937c1b22f4f6ae55f248a229e0749,378c06babf08c70f32e748ac24ea33e0,14784,barretos,SP
ee92e58c6649ac95474430dab6fa47db,9460af1d681311224e08f4e6e00bf644,11500,cubatao,SP
65eb3588197e862f2f8b129ff7a9d3bb,3871b0ab0166a2f441fa762f5206cacc,07210,guarulhos,SP
e6bee29442c761ff0dfb9a4414922a5c,728e4a7d0db4845270091ded0923c71f,80540,curitiba,PR
3421838a52fbff1c4771a2d523cb39cf,3705f77fe0e8f958b47affc9f1509398,66813,belem,PA
c63304e16787c8a326c2a53765e5adb4,b237622aa3c51e457ec662d4b9f4bdb7,60360,fortaleza,CE
e3760886106b30a851372af1aded2408,65449bbaa95acbd1504811a1eda66818,30320,belo horizonte,MG
7ec34e03cfead59804e2ae99d09014a6,e60599551efd9a16671ddf0668aea5f1,39280,buritizeiro,MG
7ef43c3eb0d94e1f5e0a49b2f3bc34a9,8405f731b36baec7dfc9501225f9b117,03034,sao paulo,SP
a0474d5c284634e68266e32c11deb9b8,e482ebcde0089f879abe0634322f17fa,28970,araruama,RJ
252958ad9cd878e5fd02fdbae229fcf4,2a756a1116ed48189353ec50150b6d3e,08030,sao paulo,SP
cadcc766f52c62f7f08bbfb5712bc3ec,181d08e7dcfdac616bf321a7ca3ad0ca,77478,sandolandia,TO
cecb0cabf6394829a7de181e95a08ad6,63d9c37bacc98b56edcd3779d54bb3e7,30240,belo horizonte,MG
ef445a4c46458174d26228fea9a223ae,9ede21088a7d7e1d9e32c210cc88268a,24710,sao goncalo,RJ
46e69377adf8857c9ce9c568ba073b06,04120e49b42d9188cee40d96521d9893,12286,cacapava,SP
b83825b514ecfa4f2ac12b219410377a,6415a6a03e09f61409fe4509dbe0b526,11730,mongagua,SP
b68970b1f72d8c9bab15252cd1f69094,04ae0d3a4945863f5612f80fb3cb9c6c,24752,sao goncalo,RJ
