review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
d21bbc789670eab777d27372ab9094cc,4fc44d78867142c627497b60a7e0228a,5,Ótimo,Loja nota 10,2018-07-10 00:00:00,2018-07-11 14:10:25
bf566b3910c328733baf7fca7d2be041,a59a15e4b6085c752d338431dc68d464,4,,,2017-11-01 00:00:00,2017-11-01 20:25:30
58044bca115705a48fe0e00a21390c54,68e55ca79d04a79f20d4bfc0146f4b66,1,,"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.",2018-04-08 00:00:00,2018-04-09 12:22:39
6eab2c9b7ea4975a0b0357a4c464b356,55101b36a58251926b6cbfdb540c0461,4,,,2018-05-31 00:00:00,2018-06-04 23:44:16
c45811d9f90e22a81155b3a1e4a5c2e8,491f193fc52075598871cfe6f19976d4,5,RECOMENDO SEMPRE!!,O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!,2018-06-19 00:00:00,2018-06-19 17:44:05
7df70380ca80dea85f0a7f1f57fa2f87,83177602aad708cea549501386b021c6,5,,,2018-01-30 00:00:00,2018-01-30 18:19:27
ba7e2a294a1c84d89bb8346d5343b74e,2ec63bd84c4e873ee8bf8786f4942673,5,,,2017-07-27 00:00:00,2017-07-27 23:51:14
2685a4800004a12ec09d27264ff1915f,5c973d2b4652e1dec15353b59339f3b4,5,,Recomendo a todos os clientes,2016-10-22 00:00:00,2016-10-26 17:47:19
e2fd85e5df711bd91e6e96e13c741843,c9645496b715730a1a5d07eb97a6bf6b,5,,Produto de qualidade excelente,2017-01-31 00:00:00,2017-02-01 16:56:49
5f938e5f5f2e9a75710b54feeb9ea610,d9ff0185a300435402f043124f530274,1,Médio,A peça não serviu,2018-05-11 00:00:00,2018-05-14 14:08:04
9d0f36ac2ecea44727adaa0e0fe064fe,3aa2600d02e113fa1145a76a2e90185f,4,,,2018-07-13 00:00:00,2018-07-18 13:32:03
785eeef6b986a8606ac04b88a08ba52c,bdb2bc3c571eb25e242b01f591816c7b,4,,,2017-10-06 00:00:00,2017-10-09 13:44:42
ed98a33c2179c13c1f50b045cbc517e1,c52439e463e5cd80125600ab8ee93344,5,,,2018-02-06 00:00:00,2018-02-14 13:31:32
adc4fea911985359440efa7be5bae99a,db29d18874ddbb8ca9f062c7b801a4e6,5,,,2017-07-21 00:00:00,2017-07-22 00:47:50
5cb4c44204ec343a1f49960a6359d29e,b00122d54463704c33f4768470c6db03,5,,,2018-01-16 00:00:00,2018-01-18 21:28:35
505a882ba08a689682a4afc6eb4e5965,1c308eca3f339414a92e518e2a2e5ee9,2,,,2017-12-28 00:00:00,2017-12-31 20:25:02
d3b4d016ccfc708c50866b550f903b9d,1905a6fa69b8fe273cc0ec81f8ec31b5,2,,"Comprei o produto, paguei no boleto e só recebi metade do produto, anunciaram uma coisa é mandaram outra. Muito insatisfeita 😡😡😡",2017-12-31 00:00:00,2018-01-03 20:49:01
1f836d160f50247a394034abd93b7c24,7951fe56cf685dca47524b1986bf56b6,3,,Esperando o instalador,2018-01-17 00:00:00,2018-01-19 22:12:18
4e1405f0b0135537af069f2bf26db067,c117260dea8a83dda05418ae635e57bb,4,,,2018-03-29 00:00:00,2018-04-03 11:50:48
13b95ae5195e069d47c2b585c8e9b4fa,67730eb2f9468b8c6eb20a45dd477bbd,5,,,2017-05-18 00:00:00,2017-05-19 22:33:58
2d0d80576ee9bbab49cc108d9ec7a0fb,475f773f6c0d909e49b758adb2401e3a,1,,"meu produto veio com defeito,devolvi conforme informado.postado no correio conforme indicado.e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento",2017-02-21 00:00:00,2017-03-13 22:20:04
3da28ed278dee769dd4d7d6b6d536773,8307cd7e144f9c61c639d115ee673bd3,5,,,2017-06-06 00:00:00,2017-06-07 18:25:39
d1022bc36ae98c11c7479dedc36f837f,5982fca4536769e5024e12eb8b6f473c,5,,,2018-04-04 00:00:00,2018-04-05 12:32:55
3a3ae0e3f4a7d6b4d1cbdf1b1732e424,0fbebd49386dfce3800986434bc990c8,4,,,2017-05-24 00:00:00,2017-05-24 23:56:16
681f83974b36c2f3b2dbb66b31c2d101,03bd6f7b95588e476cdef4abb2cfdd0d,4,,,2018-08-03 00:00:00,2018-08-04 09:52:20
21fe8cbf3cbafbc5018bcd42349c35db,3f62abd470c4d6aecea1ef66a8b2d3f3,5,,,2017-07-20 00:00:00,2017-07-20 23:47:07
8d133cac4bbb82ed43f49f5d32ef5571,bc8015ad7d68e2f870c4b6f319c88f0b,5,,,2017-12-28 00:00:00,2017-12-29 10:03:23
eaeafb542d4447da454cf68e302ae2bf,b8615aa7e6248212cab23e120279acf2,4,Boa,"Ainda não usei em nenhuma viagem, mas parece ser muito boa.",2018-06-16 00:00:00,2018-06-17 14:05:57
803b03abd2372308b85988608e895d3d,f54625bd1c01cb2de21cb256de818cf2,1,,"O produto pode estar com mal funcionamento.
Ou o meu telefone não está conseguindo fazer a leitura.",2018-06-08 00:00:00,2018-06-09 01:03:23
16063192d221c6f14be0b3444c761b92,93fe3d332271d38d6974bec644168f57,5,,"Gostei muito,chegou tudo certinho até antes do prazo de entrega.",2017-10-07 00:00:00,2017-10-09 12:14:18
f5207df17959b63c0f20768e18ad8ec3,61e268eee1d131498001b6121895c5ee,5,,,2018-01-06 00:00:00,2018-01-10 23:49:29
27fbcb5b1968f2a7962a116c864b2c0e,0a2798cd0ba9166659c07e35ef5eb817,5,,,2017-11-25 00:00:00,2017-11-25 22:48:45
f4dae81937bc173b25686e788ca1bb6c,43f32db0dedd975e294e98ce23b24661,5,,atendimento eficaz e entrega dentro do prazo,2018-05-22 00:00:00,2018-05-23 02:40:40
125af5098b160c059cd60bafcc1f6ad1,85f8ad45e067abd694b627859fa57453,5,,,2017-02-08 00:00:00,2017-02-09 10:09:24
08a54d189ccc3cec6cc2352e864d2de5,98468461ec50580f3a212ef742cccbb3,5,,,2018-03-29 00:00:00,2018-03-29 22:51:01
e331fff8d7d33514b80fdfcfb18ddb15,3127891eb38cfdbbe6d5603c658c1509,5,,,2018-02-19 00:00:00,2018-02-22 00:40:08
2fbf86e8c3cadd127773be0cf8a84da3,5685548b79358ab0ae555e21ef9cb4ea,5,,,2017-02-22 00:00:00,2017-02-24 19:41:39
